,edition,year,winner_name,winner_team,distance,pace (kmph),time_overall,time_margin,stage_wins,stages_led,height,weight,age,bmi,born,full_name,nickname,Grouped_nationalities,birth_country,nationality
0,1,1903,Maurice Garin,La Française,2428.0,25.6784784690682,94.55388888888888,2.9891666666666667,3,6,1.62,60.0,32,22.862,1871-03-03,,The Little Chimney-sweep,France,Italy,France
1,2,1904,Henri Cornet,Conte,2428.0,25.265713748897973,96.09861111111113,2.270555555555556,1,3,,,19,,1884-08-04,,Le rigolo (The joker),France,France,France
2,3,1905,Louis Trousselier,Peugeot–Wolber,2994.0,,,,5,10,,,24,,1881-06-29,,Levaloy / Trou-trou,France,France,France
3,4,1906,René Pottier,Peugeot–Wolber,4637.0,,,,5,12,,,27,,1879-06-05,,,France,France,France
4,5,1907,Lucien Petit-Breton,Peugeot–Wolber,4488.0,,,,2,5,,,24,,1882-10-18,Lucien Georges Mazan,Lucien Petit-Breton,France,France,France
5,6,1908,Lucien Petit-Breton,Peugeot–Wolber,4497.0,,,,5,13,,,25,,1882-10-18,Lucien Georges Mazan,Lucien Petit-Breton,France,France,France
6,7,1909,François Faber,Alcyon–Dunlop,4498.0,,,,6,13,1.78,88.0,22,27.774,1887-01-26,,The giant of colombes,Luxembourg,France,Luxembourg
7,8,1910,Octave Lapize,Alcyon–Dunlop,4734.0,,,,4,3,,,22,,1887-10-24,,,France,France,France
8,9,1911,Gustave Garrigou,Alcyon–Dunlop,5343.0,,,,2,13,,,26,,1884-09-24,Cyprien Gustave Garrigou,,France,France,France
9,10,1912,Odile Defraye,Alcyon–Dunlop,5289.0,,,,3,13,,,23,,1888-07-14,,,Belgium,Belgium,Belgium
10,11,1913,Philippe Thys,Peugeot–Wolber,5287.0,26.715512885295603,197.9,0.13555555555555554,1,8,,,23,,1889-10-08,,Le basset (The Basset Hound),Belgium,Belgium,Belgium
11,12,1914,Philippe Thys,Peugeot–Wolber,5380.0,26.835594573024743,200.48,0.016944444444444443,1,15,,,24,,1889-10-08,,Le basset (The Basset Hound),Belgium,Belgium,Belgium
12,13,1919,Firmin Lambot,La Sportive,5560.0,24.05668030791974,231.1208333333333,1.715,1,2,,,33,,1886-03-14,,,Belgium,Belgium,Belgium
13,14,1920,Philippe Thys,La Sportive,5503.0,24.07223566265236,228.6036111111111,0.9658333333333332,4,14,,,30,,1889-10-08,,Le basset (The Basset Hound),Belgium,Belgium,Belgium
14,15,1921,Léon Scieur,La Sportive,5485.0,24.724965127606655,221.84055555555562,0.305,2,14,,,33,,1888-03-18,,,Belgium,Belgium,Belgium
15,16,1922,Firmin Lambot,Peugeot–Wolber,5375.0,24.19699732144867,222.135,0.6947222222222222,0,3,,,36,,1886-03-14,,,Belgium,Belgium,Belgium
16,17,1923,Henri Pélissier,Automoto–Hutchinson,5386.0,24.2330621274043,222.25833333333333,0.5083333333333333,3,6,,,34,,1889-01-22,,,France,France,France
17,18,1924,Ottavio Bottecchia,Automoto,5425.0,23.971984814060622,226.3058333333333,0.5930555555555556,4,15,,,29,,1894-08-01,,,Italy,Italy,Italy
18,19,1925,Ottavio Bottecchia,Automoto–Hutchinson,5440.0,24.82072652334928,219.17166666666665,0.915,4,13,,,30,,1894-08-01,,,Italy,Italy,Italy
19,20,1926,Lucien Buysse,Automoto–Hutchinson,5745.0,24.063807135834505,238.74027777777775,1.3736111111111111,2,8,,,33,,1892-09-11,,,Belgium,Belgium,Belgium
20,21,1927,Nicolas Frantz,Alcyon–Dunlop,5398.0,27.224356334109462,198.2783333333333,1.8113888888888892,3,14,,,27,,1899-11-04,,,Luxembourg,Luxembourg,Luxembourg
21,22,1928,Nicolas Frantz,Alcyon–Dunlop,5476.0,28.40011640336647,192.81611111111116,0.8472222222222222,5,22,,,28,,1899-11-04,,,Luxembourg,Luxembourg,Luxembourg
22,23,1929,Maurice De Waele,Alcyon–Dunlop,5286.0,28.31975355492555,186.65416666666667,0.7455555555555555,1,16,,,32,,1896-12-27,,,Belgium,Belgium,Belgium
23,24,1930,André Leducq,Alcyon–Dunlop,4822.0,28.00160016517835,172.2044444444444,0.23722222222222225,2,13,,,26,,1904-02-27,,,France,France,France
24,25,1931,Antonin Magne,France,5091.0,28.735518647607492,177.1675,0.20333333333333334,1,16,,,27,,1904-01-15,,,France,France,France
25,26,1932,André Leducq,France,4479.0,29.047268194174475,154.19694444444445,0.4066666666666667,6,19,,,28,,1904-02-27,,,France,France,France
26,27,1933,Georges Speicher,France,4395.0,29.724007461999598,147.86027777777778,0.06777777777777777,3,12,,,26,,1907-06-08,,,France,France,France
27,28,1934,Antonin Magne,France,4470.0,30.360087389960718,147.23277777777778,0.4575,3,22,,,30,,1904-01-15,,,France,France,France
28,29,1935,Romain Maes,Belgium,4338.0,30.68254155369563,141.38333333333333,0.2880555555555556,3,21,,,22,,1912-08-10,,,Belgium,Belgium,Belgium
29,30,1936,Sylvère Maes,Belgium,4442.0,31.108136920000312,142.79222222222222,0.4405555555555556,4,14,,,26,,1909-08-27,,,Belgium,Belgium,Belgium
30,31,1937,Roger Lapébie,France,4415.0,31.768240154623815,138.97527777777782,0.11861111111111113,3,4,,,26,,1911-01-16,,,France,France,France
31,32,1938,Gino Bartali,Italy,4694.0,31.61226597225341,148.48666666666662,0.305,2,8,1.72,66.0,23,22.309,1914-07-18,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Italy,Italy,Italy
